mass,sigma
115.49000000,1.41608902
115.50000000,1.41498625
115.51000000,1.41388471
115.52000000,1.41278441
115.53000000,1.41168534
115.54000000,1.41058751
115.55000000,1.40949091
115.56000000,1.40839553
115.57000000,1.40730139
115.58000000,1.40620848
115.59000000,1.40511679
115.60000000,1.40402634
115.61000000,1.40293711
115.62000000,1.40184910
115.63000000,1.40076232
115.64000000,1.39967676
115.65000000,1.39859243
115.66000000,1.39750931
115.67000000,1.39642742
115.68000000,1.39534675
115.69000000,1.39426729
115.70000000,1.39318906
115.71000000,1.39211204
115.72000000,1.39103624
115.73000000,1.38996165
115.74000000,1.38888828
115.75000000,1.38781611
115.76000000,1.38674517
115.77000000,1.38567543
115.78000000,1.38460690
115.79000000,1.38353959
115.80000000,1.38247348
115.81000000,1.38140858
115.82000000,1.38034488
115.83000000,1.37928239
115.84000000,1.37822111
115.85000000,1.37716103
115.86000000,1.37610215
115.87000000,1.37504448
115.88000000,1.37398800
115.89000000,1.37293273
115.90000000,1.37187866
115.91000000,1.37082578
115.92000000,1.36977410
115.93000000,1.36872362
115.94000000,1.36767433
115.95000000,1.36662624
115.96000000,1.36557934
115.97000000,1.36453363
115.98000000,1.36348911
115.99000000,1.36244579
116.00000000,1.36140365
116.01000000,1.36036271
116.02000000,1.35932295
116.03000000,1.35828438
116.04000000,1.35724699
116.05000000,1.35621079
116.06000000,1.35517578
116.07000000,1.35414194
116.08000000,1.35310929
116.09000000,1.35207782
116.10000000,1.35104753
116.11000000,1.35001842
116.12000000,1.34899049
116.13000000,1.34796374
116.14000000,1.34693816
116.15000000,1.34591376
116.16000000,1.34489054
116.17000000,1.34386848
116.18000000,1.34284760
116.19000000,1.34182790
116.20000000,1.34080936
116.21000000,1.33979199
116.22000000,1.33877580
116.23000000,1.33776077
116.24000000,1.33674690
116.25000000,1.33573421
116.26000000,1.33472268
116.27000000,1.33371231
116.28000000,1.33270311
116.29000000,1.33169507
116.30000000,1.33068819
116.31000000,1.32968247
116.32000000,1.32867792
116.33000000,1.32767452
116.34000000,1.32667228
116.35000000,1.32567119
116.36000000,1.32467126
116.37000000,1.32367249
116.38000000,1.32267487
116.39000000,1.32167841
116.40000000,1.32068309
116.41000000,1.31968893
116.42000000,1.31869592
116.43000000,1.31770406
116.44000000,1.31671334
116.45000000,1.31572378
116.46000000,1.31473536
116.47000000,1.31374808
116.48000000,1.31276195
116.49000000,1.31177697
116.50000000,1.31079312
116.51000000,1.30981042
116.52000000,1.30882886
116.53000000,1.30784844
116.54000000,1.30686916
116.55000000,1.30589101
116.56000000,1.30491399
116.57000000,1.30393811
116.58000000,1.30296336
116.59000000,1.30198973
116.60000000,1.30101724
116.61000000,1.30004587
116.62000000,1.29907562
116.63000000,1.29810650
116.64000000,1.29713850
116.65000000,1.29617162
116.66000000,1.29520585
116.67000000,1.29424121
116.68000000,1.29327767
116.69000000,1.29231525
116.70000000,1.29135394
116.71000000,1.29039375
116.72000000,1.28943466
116.73000000,1.28847667
116.74000000,1.28751979
116.75000000,1.28656402
116.76000000,1.28560935
116.77000000,1.28465577
116.78000000,1.28370330
116.79000000,1.28275192
116.80000000,1.28180164
116.81000000,1.28085245
116.82000000,1.27990436
116.83000000,1.27895735
116.84000000,1.27801144
116.85000000,1.27706661
116.86000000,1.27612287
116.87000000,1.27518021
116.88000000,1.27423863
116.89000000,1.27329814
116.90000000,1.27235873
116.91000000,1.27142039
116.92000000,1.27048313
116.93000000,1.26954694
116.94000000,1.26861183
116.95000000,1.26767779
116.96000000,1.26674482
116.97000000,1.26581292
116.98000000,1.26488208
116.99000000,1.26395231
117.00000000,1.26302360
117.01000000,1.26209595
117.02000000,1.26116937
117.03000000,1.26024384
117.04000000,1.25931937
117.05000000,1.25839596
117.06000000,1.25747360
117.07000000,1.25655229
117.08000000,1.25563203
117.09000000,1.25471282
117.10000000,1.25379466
117.11000000,1.25287755
117.12000000,1.25196147
